Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2009-03-01,1307,1.1,6.39,6.49,28.21,13.4,14.07,14.35,0.67,190.45,14.56,14.81,18.29,17.9,1.34,6.76,0.91,1.07,11.34,10.46,14.81,26.59,26.59,28.39,12.93,22.07,0.92,218.82,159.72,59.05,40.95,69.36,173.53,10.23,10.74,2282994.0,51.7,5.9,1.01,-256782.0,103.08,1.78,2.48,1.15,0.63,5390024.0,M1300,0.7035267682688549
2009-03-01,1308,0.76,3.8,3.19,22.01,16.55,24.01,19.71,7.46,402.64,16.57,5.47,55.62,20.64,1.22,3.86,0.64,0.93,-40.48,-43.84,-35.04,-31.07,-31.07,-29.96,-14.71,-14.18,-1.51,483.49,414.78,85.51,14.49,16.94,1019.42,6.38,9.26,2200024.0,10.43,17.64,0.67,46113.0,43.48,0.77,7.55,0.78,0.86,4214036.0,M1300,0.7500048952098741
2009-03-01,1309,0.52,5.17,4.34,10.98,5.99,7.05,5.73,1.06,220.16,4.81,4.99,17.07,10.43,2.31,9.09,0.54,0.64,-37.16,432.68,899.46,649.06,649.06,384.76,-23.23,-32.57,1.83,140.2,96.44,34.09,65.91,193.36,198.49,5.45,6.41,1517674.0,94.43,5.76,1.2,201495.0,80.97,3.61,4.8,0.64,0.13,1847217.0,M1300,0.8920797014970467
2009-03-01,1310,0.59,6.15,6.16,15.13,9.13,9.04,8.81,-0.08,252.15,8.82,6.0,4.11,9.54,0.42,6.81,0.62,0.62,-36.96,1900.35,973.2,2582.98,2582.98,2691.94,-16.0,-25.25,2.83,116.49,62.2,47.08,52.92,112.41,223.79,5.37,5.32,851305.0,72.33,8.15,1.3,-58685.0,57.62,2.79,5.66,1.13,0.31,5510970.0,M1300,0.7535005647790969
2009-03-01,1313,0.16,0.97,0.98,8.76,4.65,3.86,2.39,-0.79,213.04,2.4,4.11,12.85,16.89,1.09,6.69,0.31,0.26,-27.35,68.95,-46.98,-63.64,-63.64,-61.74,-3.28,-4.06,-0.84,183.7,132.06,54.93,45.07,82.06,259.21,3.09,2.57,5826079.0,37.01,11.57,0.86,253808.0,62.83,1.63,3.26,0.63,0.33,8739942.0,M1300,0.6635442591467595
2009-03-01,1314,-0.18,-1.6,-1.72,-1.71,-5.71,-7.34,-7.62,-1.64,-42.82,-8.18,4.0,15.23,10.84,0.39,2.3,-0.13,-0.17,-62.24,-135.12,-143.73,-155.2,-155.2,-190.89,-10.19,-20.39,-2.15,201.85,124.62,45.16,54.84,121.46,181.63,-1.31,-1.69,4625196.0,14.66,13.19,0.39,523058.0,35.75,0.84,0.87,0.67,0.5,13121172.0,M1300,0.7927023667999569
2009-03-01,1315,0.15,0.58,0.58,21.24,-0.79,5.19,4.07,5.98,96.4,4.13,22.03,7.88,24.47,0.45,3.43,-0.03,0.18,-22.59,-213.2,375.57,337.01,337.01,339.62,-5.53,-11.76,0.56,285.65,198.22,69.86,30.14,43.15,315.68,-0.26,1.72,2256123.0,28.19,4.83,0.39,-116785.0,178.92,0.57,1.73,0.63,0.8,3278000.0,M1300,0.47484231827827816
2009-03-01,1316,0.19,0.72,0.72,3.05,-14.63,-2.11,4.97,12.52,17.23,5.0,17.68,41.55,12.82,0.63,2.17,-0.32,-0.05,-31.76,-446.47,-14.17,400.21,400.21,844.86,2.6,4.57,0.77,521.55,336.06,86.91,13.09,15.07,291.59,-3.18,-0.46,418303.0,28.26,4.64,0.5,5249.0,146.75,0.58,1.65,0.35,0.34,292595.0,M1300,1.3260941782244
2009-03-01,1319,0.77,2.83,2.73,27.08,10.82,10.63,8.66,-0.19,166.41,8.36,16.27,12.87,21.28,2.76,9.35,1.01,1.02,-6.59,12.73,61.91,50.84,50.84,34.59,6.42,7.56,0.68,84.09,57.55,48.17,51.83,107.6,108.88,10.08,9.9,-1489782.0,41.62,4.79,0.62,53807.0,63.67,1.31,1.06,0.91,0.51,8443125.0,M1300,2.132970840900734
2009-03-01,1321,-0.11,-0.96,-0.96,5.35,-2.59,-1.69,-2.23,0.9,67.4,-2.23,7.93,16.41,11.74,0.8,5.05,-0.13,-0.09,-23.64,-233.9,-11.64,-0.62,-0.62,-227.0,-4.13,-9.42,0.43,146.76,78.06,60.02,39.98,66.6,208.42,-1.27,-0.83,504074.0,45.55,8.55,1.03,37267.0,63.85,1.72,3.29,1.04,0.51,2704013.0,M1300,0.921259842519685
