Time,stock_id,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值,交易所主產業代碼,Y_ExpRet
2010-03-31,1309,0.44,3.66,3.75,7.81,3.87,3.53,3.24,-0.34,198.21,3.32,3.94,-29.14,12.26,-4.28,13.59,0.53,0.48,49.59,-3.41,-25.05,-15.44,-15.44,3.37,25.14,17.51,-0.31,187.53,103.23,32.01,67.99,212.4,319.1,5.26,4.8,3577744.0,146.79,6.96,1.54,-341273.0,75.6,4.52,8.08,1.07,0.24,3663787.0,M1300,1.5794493396393037
2010-03-31,1310,-0.05,-0.14,-1.58,2.91,-1.15,-0.24,-0.2,0.91,71.7,-2.34,4.06,-10.65,11.71,-1.1,7.88,-0.09,-0.02,31.54,-116.56,-103.45,-102.99,-102.99,-134.85,17.45,42.0,-2.49,130.17,71.46,56.92,43.08,75.69,332.33,-0.91,-0.19,1583444.0,51.31,9.4,1.49,-146073.0,40.92,2.71,7.83,1.52,0.55,10155950.0,M1300,0.9289766415357044
2010-03-31,1313,0.88,5.0,4.64,15.22,11.71,12.76,10.46,1.05,434.6,9.71,3.5,-4.42,18.31,-0.45,7.75,0.91,1.07,42.88,260.26,372.82,525.09,525.09,477.72,25.81,29.22,2.32,198.52,126.38,56.42,43.58,77.26,312.61,9.28,10.11,9553104.0,49.54,11.09,1.04,-1372834.0,61.4,1.91,4.53,0.99,0.63,17954308.0,M1300,0.7487461013234427
2010-03-31,1314,0.41,3.26,3.88,14.79,12.23,9.76,7.69,-2.47,577.59,9.15,2.56,24.09,12.77,0.67,5.35,0.65,0.52,132.94,599.27,409.54,334.94,334.94,360.5,2.11,17.72,2.62,224.67,133.61,52.06,47.94,92.08,198.35,6.54,5.22,6238297.0,23.16,14.4,0.88,333069.0,29.1,1.7,2.18,1.08,0.76,24680728.0,M1300,0.9224738955823293
2010-03-31,1315,0.06,0.17,-0.22,18.69,-4.41,1.44,1.64,5.85,80.92,-2.09,23.1,-2.05,28.38,-0.1,2.98,-0.13,0.04,-13.1,-383.08,-75.84,-64.92,-64.92,-143.97,7.89,15.83,-0.32,407.68,316.08,75.0,25.0,33.33,377.09,-1.27,0.41,3030751.0,20.95,5.4,0.32,-241459.0,162.15,0.43,1.56,0.86,1.61,5159000.0,M1300,0.49032376597395166
2010-03-31,1316,-0.15,-1.51,-1.47,1.57,-13.68,-8.95,-8.91,4.73,10.28,-8.66,15.25,-14.55,12.54,-0.25,2.47,-0.34,-0.22,13.79,-6.41,-383.23,-304.03,-304.03,-297.02,-2.31,-4.21,-2.09,446.76,295.51,85.22,14.78,17.34,315.68,-3.38,-2.21,389820.0,28.4,6.2,0.59,7992.0,102.22,0.68,2.11,0.85,1.03,697276.0,M1300,1.6475562366591867
2010-03-31,1319,1.03,4.21,4.29,25.26,12.43,12.16,10.4,-0.27,196.71,10.58,12.84,8.71,23.64,1.85,11.49,1.43,1.6,40.84,61.89,61.21,69.13,69.13,78.25,6.87,13.29,1.02,104.8,76.41,51.06,48.94,95.85,119.01,15.85,15.5,457126.0,49.15,4.69,0.82,-6421.0,46.44,1.62,1.49,2.57,1.24,27391386.0,M1300,4.180608487823784
2010-03-31,1321,-0.03,-0.21,-0.23,6.32,-0.42,0.02,-0.38,0.44,93.79,-0.42,6.73,-22.0,12.14,-1.29,6.6,-0.03,0.0,30.7,78.87,101.35,77.75,77.75,75.6,6.28,3.4,0.11,141.48,68.44,58.4,41.6,71.24,207.37,-0.27,0.01,537453.0,56.81,8.59,1.27,-2550.0,47.49,2.18,4.2,2.07,0.95,5544363.0,M1300,1.336633663366337
2010-03-31,1323,0.58,4.09,4.09,26.45,11.73,10.49,8.74,-1.23,179.63,8.73,14.72,-4.22,14.91,-0.51,7.07,0.83,0.78,20.02,95.25,110.77,141.7,141.7,157.18,-0.23,4.49,1.09,135.39,85.33,47.83,52.17,109.06,123.33,8.67,7.76,338692.0,63.93,5.88,0.88,17959.0,104.78,1.87,1.81,1.25,0.67,1466536.0,M1300,1.0432537340536614
2010-03-31,1324,0.23,1.73,1.72,21.5,7.39,6.77,5.15,-0.62,152.34,5.11,14.12,7.84,13.28,0.32,4.45,0.33,0.3,32.89,117.07,31.64,38.9,38.9,40.19,14.19,6.31,0.32,279.78,172.2,74.35,25.65,34.5,216.3,3.28,3.01,554659.0,44.55,6.55,0.98,918.0,58.06,1.34,2.86,1.69,1.21,1682710.0,M1300,1.7867954257884309
