證券代碼,簡稱,年月,每股盈餘,ROE(A)－稅後,ROE(B)－常續利益,營業毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,貝里比率,常續利益率－稅後,營業費用率,現金流量比率,每股淨值(A),每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,淨值/資產,負債比率,總負債/總淨值,長期資金適合率(A),營業利益 /實收資本比,稅前純益 /實收資本,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,自由現金流量(D),淨營業週期（日）,淨值週轉率（次）,固定資產週轉次數,當季季底P/B,當季季底PSR,季底普通股市值
2059,川湖,201003  ,2.5,6.49,5.53,52.48,36.97,41.57,35.47,4.6,338.37,30.22,15.51,32.35,40,2.06,6.67,2.47,2.93,49.11,69.88,59.23,64.78,64.78,34.67,25.54,24.8,1.86,672.04,607.29,64.88,35.12,54.13,292.93,26.01,29.24,3178012,25.89,4.23,0.47,-869848,116.51,0.73,1.52,4.78,7,16647033
2062,橋椿,201003  ,0.88,3.34,3.34,25.06,14.95,14.96,12.08,0,247.94,12.08,10.11,17.5,26.83,0.63,7.25,1.08,1.09,10.17,589.64,199.48,205.78,205.78,204.77,-9.8,3.04,1.94,418.14,311.03,88.15,11.85,13.44,194.44,10.74,10.74,1841195,35.09,5.14,0.97,520,97.61,1.11,2.05,1.47,1.34,6343292
2101,南港,201003  ,0.29,1.92,2.06,22.16,9.12,9.19,7.19,0.07,169.87,7.71,13.04,-2.38,15.04,-0.16,4.11,0.37,0.37,32.35,533.52,1073.35,1456.22,1456.22,530.98,5.24,10.04,1.29,115.27,59.42,55.5,44.5,80.19,105.25,3.67,3.7,681243,34.8,8.78,0.62,-556712,102.61,1.07,0.94,3.18,2.8,31521053
2102,泰豐,201003  ,0.31,1.31,1.31,18.3,7.16,5.45,4.14,-1.71,164.31,4.15,11.14,3.28,23.85,0.29,6.99,0.5,0.41,65.26,17280.4,2184.12,2085.11,2085.11,3205.83,15.11,7.46,0.98,173.38,117.65,67.5,32.5,48.15,122.38,5.11,3.89,2042015,43.27,5.19,0.87,26825,78.03,1.26,1.51,1.14,0.98,8603626
2103,台橡,201003  ,0.99,5.65,5.63,17.43,13.26,12.99,9.81,-0.27,418.19,9.78,4.17,1.96,19.57,0.21,12.63,1.68,1.64,89.57,41.66,39.34,47.04,47.04,46.57,8.69,2.79,1.3,180.52,125.7,59.99,40.01,66.71,219.26,16.76,16.41,5538951,54.03,8.09,1.41,605791,65.45,2.3,4.37,2.16,1.06,27491151
2104,國際中橡,201003  ,0.41,0.81,0.87,14.2,5.3,5.03,2.94,-0.27,159.55,3.13,8.9,-1.8,28.95,-0.22,9.23,0.49,0.46,31.82,222.24,179.16,152.07,152.07,155.69,8.52,33.1,1.3,231.66,169.92,59.7,40.3,67.51,249.28,4.8,4.55,8661672,40.74,5.19,0.65,127899,115.46,1.11,2.23,1.12,0.93,17410401
2105,正新,201003  ,1.73,6.8,6.78,24.7,15.66,15.98,13.09,0.31,273.33,13.05,9.04,15.71,26.17,2.2,10.58,1.66,2.11,26.19,51.4,49.31,59.07,59.07,65.23,8.4,22.41,1.35,146.64,84.08,45.76,54.24,118.54,118.67,20.72,21.13,10779297,42.43,13.36,0.94,-492207,55.28,2.08,1.51,2.58,1.25,111426229
2106,建大,201003  ,0.78,4.1,4.11,22,10.74,11.04,8.39,0.3,195.35,8.42,11.26,6.38,19.3,0.65,8.26,0.89,1.02,20.81,-9.45,-4.61,-6.88,-6.88,-6.66,8.36,18.99,-0.25,185.11,122.11,56.66,43.34,76.5,207.99,9.96,10.24,4763464,55.87,7.82,1.1,115859,77.93,1.96,3.51,1.83,0.97,19562040
2109,華豐,201003  ,0.02,0.52,-0.2,12.87,0.07,3.21,1.32,3.15,100.51,-0.52,12.8,-0.47,12.66,-0.05,5.58,0,0.18,14.76,-87.47,261.1,156.08,156.08,77.25,-1.84,7.52,0.68,139.95,60.51,48.76,51.24,105.08,125.43,0.04,1.79,1304566,68.31,7.5,0.75,-397492,106.27,1.57,1.47,1.09,0.61,4464631
2114,鑫永銓,201003  ,0.49,2.26,2.27,21.32,10.5,7.72,6.97,-2.78,196.93,7.02,10.83,1.88,22.16,0.18,5.85,0.61,0.55,31.09,42.82,-15.97,-3.07,-3.07,-0.09,0.48,9.36,0.03,162.83,95.29,58.13,41.87,72.03,127.92,7.45,5.47,304388,39.55,9.88,0.74,31733,34.73,1.29,1.31,1.49,1.17,1656072
2022,聚亨,201003  ,0.32,3.51,3.52,17.75,10.76,10.68,10.67,-0.07,253.89,10.7,6.99,-13.11,8.21,-1.6,4,0.43,0.37,18.06,127.64,127.05,126.9,126.9,126.26,5.53,-11.25,8.07,83.57,22.64,45.33,54.67,120.61,95.04,3.77,3.75,-1108078,73.23,17.34,0.6,1452733,188.07,1.32,1.13,0.96,0.64,4362617
2023,燁輝,201003  ,0.14,0.76,1.19,8.34,4.48,2.36,1.62,-2.12,219.75,2.54,3.79,4,18.57,0.56,10.02,0.45,0.25,61.69,245.08,163.12,154.28,154.28,186.3,3.55,2.1,1.14,122.37,65.05,48.09,51.91,107.95,175.15,4.72,2.48,4560373,36.32,13.89,0.9,396389,46.97,1.87,2.24,0.69,0.37,18759425
2024,志聯,201003  ,0.25,3.06,3.08,10.78,6.74,5.47,5.47,-1.27,266.63,5.51,4.04,1.38,8.47,0.09,5.08,0.34,0.28,155.04,124.68,117.83,117.83,117.83,117.94,-10.92,-7.23,10.02,116.12,60.06,50.24,49.76,99.06,109.92,3.42,2.78,118770,67.6,6.6,1.13,15860,91.35,2.23,1.96,0.79,0.42,752751
2025,千興,201003  ,0.47,4.98,5.23,0.8,-0.68,9.31,9.31,9.99,54.07,9.78,1.48,43.19,9.64,0.98,5.03,-0.03,0.47,73.53,91.17,248.86,248.86,248.86,221.9,-5.22,9.83,5.92,196.9,82.37,80.85,19.15,23.69,140.01,-0.3,4.08,618043,24.4,91.04,1.66,5203,44.38,2.14,2.98,0.78,0.42,2127476
2027,大成鋼,201003  ,0.37,1.68,1.75,17.53,6.72,4.79,2.71,-1.93,162.11,2.82,10.81,0.95,17.81,0.2,11.5,0.77,0.67,37.19,344.12,238.34,67.95,67.95,64.36,4.17,15.85,0.43,186.78,40.34,42.3,57.7,136.38,343.62,9.25,6.59,9486868,137.2,12.72,1.05,260883,218.53,2.49,5.91,1.36,0.56,12827269
2206,三陽工業,201003  ,0.15,1.35,1.31,20.84,3.55,3.92,3.09,0.38,120.51,3,17.3,-4.89,16.56,-0.76,8.57,0.3,0.34,21.5,166.04,176.52,158.48,158.48,157.2,0.63,-0.4,1.8,142.29,88.77,44.54,55.46,124.49,146.18,2.96,3.27,5393366,36.25,11.57,0.78,324082,48.34,1.75,2.11,0.81,0.35,11035576
2207,和泰車,201003  ,3.3,7.7,7.17,10.88,5.85,7.82,6.35,1.97,220.43,5.92,4.94,5.95,42.13,4.26,55.41,3.24,4.33,48.66,70.99,99,116.26,116.26,123.85,10.72,13.82,1.7,115.57,94.35,35.16,64.84,184.42,133.43,32.44,43.35,6087982,131.25,4.26,1.67,-1288088,84.44,4.85,5.74,1.66,0.34,38287148
2208,台船,201003  ,0.33,1.82,1.7,5.3,3.57,4.68,3.77,1.11,306.5,3.51,1.73,-10.93,18.35,-2.21,8.19,0.29,0.41,-39.7,-85.83,-83.33,-82.21,-82.21,-83.26,0.22,6.62,-3.23,166.69,13.37,37.35,62.65,167.77,132.71,3.14,4.11,9054701,137.63,51.98,0.73,721671,253.46,1.93,2.44,1.51,0.68,18602726
2227,裕日車,201003  ,2.53,4.86,4.83,12.69,1.69,11.88,10.59,10.19,115.35,10.54,11,-13.66,53.15,-0.79,23.87,0.4,2.84,86.45,128.31,364.64,190.45,190.45,189.38,5.48,1.28,2.93,184.95,173.54,83.39,16.61,19.92,35029.4,4.03,28.35,1480784,3.46,58.67,1.55,526454,-9.02,1.84,602.59,1.41,0.9,22500000
2231,為升,201003  ,1.51,7.96,7.97,43.89,31.54,30.43,25.13,-1.12,355.57,25.14,12.34,25.68,19.76,1.65,4.92,1.55,1.83,57.06,83.95,56.63,75,75,75.06,1.93,17.16,2.38,189.11,117.02,71.98,28.02,38.93,148.82,18.99,18.32,279964,40.77,5.07,0.87,83890,123.95,1.27,1.7,4.05,3.55,3923520
2233,宇隆,201003  ,1.73,15.57,15.41,18.74,9.14,40.67,32.77,31.53,195.27,32.43,9.6,-4.95,82.05,-0.65,4.4,0.4,2.14,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,99.85,97.4,45.48,54.52,119.85,809.43,33.2,147.68,-507,41.57,3.84,0.9,121982,52.86,1.9,5.16,N.A.,N.A.,N.A.
2301,光寶科,201003  ,0.82,3.03,3.03,15.54,5.6,5.92,4.59,0.32,156.38,4.59,9.94,1.89,29.57,0.67,24.49,1.37,1.46,50.68,310.98,284.29,344.76,344.76,230.06,15.48,8.8,1.02,151.44,116.62,45.23,54.77,121.11,286.4,13.49,14.27,40338590,71.78,5.57,1.19,-648270,-2.43,2.64,6.01,1.46,0.47,95366988
2302,麗正,201003  ,0.04,0.34,0.34,22.52,0.67,2.12,2.67,1.45,103.08,2.67,21.85,14.62,11.52,0.26,1.47,0.01,0.03,20.11,117.54,275.1,287.64,287.64,286.01,-1.82,-1.43,1.06,222.36,137.45,81.26,18.74,23.07,150.38,0.1,0.31,345100,21.54,4.19,0.42,3210,106.82,0.51,0.81,0.56,0.96,1006899
2303,聯電,201003  ,0.28,1.64,1.38,24.03,11.56,13.21,12.68,1.65,192.47,10.71,12.49,30.11,16.69,0.85,2.18,0.25,0.29,144.43,138.68,142.58,140.7,140.7,136.9,16.58,10.09,4.74,280.47,248.91,83.93,16.07,19.15,230.68,2.43,2.78,64441886,13.27,6.24,0.44,4220967,75.36,0.52,1.21,1.05,2.03,218846317
2312,金寶,201003  ,0.22,1.45,0.4,7.89,1.9,6.13,5.5,4.24,131.67,1.51,5.99,10.05,15.76,0.53,4.22,0.08,0.26,-20.15,381.99,478.85,319.61,319.61,1.18,4.63,8.23,0.7,143.47,102.45,61.46,38.54,62.72,721.14,0.76,2.46,3179405,28.71,5.29,0.65,-918053,42.41,1.05,5.96,0.63,0.56,13751137
2313,華通,201003  ,-0.25,-1.98,-1.85,3.14,-5.5,-6.04,-6.59,-0.54,36.31,-6.15,8.64,-9.03,12.48,-0.69,3.79,-0.21,-0.23,-6.84,-444.18,-9064.1,-3035.45,-3035.45,-1155.63,-4.66,-10.9,-1.05,166.35,128.34,46.69,53.31,114.19,151.73,-2.08,-2.29,6043832,55.39,3.5,0.56,958117,103.27,1.2,1.27,0.72,0.58,10762135
2314,台揚,201003  ,0.02,0.15,0.23,17.48,0.18,0.5,0.41,0.31,101.06,0.6,17.29,-5.91,11.6,-0.51,4.4,0.01,0.02,29.58,123.38,-30.83,-21.05,-21.05,-27.86,6.51,-7.8,0,183.69,132.49,54.03,45.97,85.08,441.3,0.08,0.22,2986348,70.84,4.29,0.84,33081,73.67,1.5,6.66,1.78,1.25,8507141
2316,楠梓電,201003  ,0.11,0.81,0.79,5.22,-2.29,2.53,2.39,4.83,69.49,2.34,7.51,6.18,13.41,0.41,5.04,-0.12,0.11,35.73,24.94,-14.71,-19.66,-19.66,-15.13,-9.49,-10.36,-0.27,176.4,136.15,58.5,41.5,70.93,310.25,-1.01,1.11,2101659,46.7,3.84,0.81,213105,45.56,1.36,3.83,1.02,0.8,5227322
2317,鴻海,201003  ,2.1,3.67,3.66,8.66,3.66,3.73,3.26,0.07,173.15,3.25,5,3.28,53.16,2.05,56.35,2.06,2.37,43.89,43.8,30.12,32.44,32.44,29.06,33.66,17.95,0.43,140.58,100.95,44.69,55.31,123.79,234.91,23.21,23.66,217570227,108.35,6.85,2.05,24096230,30.79,4.51,9.26,2.59,0.56,1179603013
2204,中華,201003  ,0.23,0.74,1.05,11.79,0.41,3.46,3.17,3.05,104.34,4.48,11.3,-2.91,28.9,-0.2,7.13,0.03,0.25,23.57,-17.35,1277.44,335.22,335.22,341.01,4.71,5.3,0.3,214.24,163.49,76.01,23.99,31.57,480.77,0.29,2.45,11007686,15.96,12.44,0.69,553535,36.14,0.93,4.28,0.75,0.76,29982515
2332,友訊,201003  ,0.39,1.75,1.79,33.87,3.74,4.35,3.34,0.61,112.42,3.41,30.13,-10.18,23.1,-1.35,12.21,0.46,0.53,16.2,167.59,230.2,180.52,180.52,172.57,18.52,11.21,2.39,216.48,150.26,58.11,41.89,72.09,1353.19,4.57,5.31,10039859,67.48,5.27,1.23,-1293467,50.24,2.09,25.03,1.42,0.66,21240624
2337,旺宏,201003  ,0.49,3.77,3.74,47.32,26.26,26.2,24.03,-0.06,224.67,23.79,21.06,45.18,13.1,0.72,1.99,0.52,0.53,32.83,173.83,177.64,173.87,173.87,170.14,14.96,15.05,2.07,693.33,630.18,87.9,12.1,13.77,417.74,5.28,5.26,31162939,15.21,6.63,0.55,-149225,82.68,0.63,2.51,1.6,2.45,69936699
2338,光罩,201003  ,0.17,1.26,1.34,24.29,11.58,11.35,9.91,-0.24,191.16,10.5,12.71,5.03,15.34,0.09,2.59,0.3,0.23,13.54,223.88,193.67,179.86,179.86,234.15,-8.33,2.17,2.46,525,448,81.66,18.34,22.46,247.96,2.2,2.16,2423348,19.78,4.09,0.41,62032,133.33,0.51,1.1,1,1.68,4507476
2340,光磊,201003  ,0.21,1.83,1.64,20.95,4.98,8.41,7.01,3.43,131.21,6.3,15.97,13.09,12.23,0.84,3.15,0.16,0.27,52.49,259.53,361.7,323.93,323.93,298.88,15.04,11.49,1.43,199.44,161.18,55.37,44.63,80.6,258.91,1.58,2.66,3484702,45.29,3.69,0.57,142355,81.79,1.04,2.1,2.19,2.25,14585409
2342,茂矽,201003  ,0.21,1.66,-5.75,11.59,2.09,11.44,10.15,9.35,122,-35.28,9.5,1.68,10.68,0.11,1.6,0.03,0.21,134.55,108.46,123.68,121.25,120.64,76.17,-8.52,-8.44,5.94,109.14,66.87,62.34,37.66,60.41,286.81,0.39,2.14,334416,16.14,6.54,0.4,12489,44.74,0.65,1.84,1.55,2.59,9567128
2344,華邦電,201003  ,0.11,1.23,1.16,22.37,6.68,5.14,4.78,-1.54,142.62,4.5,15.68,8.39,9.36,0.42,2.44,0.16,0.13,103.1,116.52,108.83,108.17,108.17,110.9,-5.26,-1.18,8.7,99.5,62.49,50.62,49.38,97.56,116.37,1.63,1.25,-91916,29.18,9.09,0.52,52372,51.8,1.03,0.83,0.96,1.05,32689083
2345,智邦,201003  ,0.5,3.22,1.96,20.04,3.17,5.27,5.24,2.1,119.93,3.18,16.71,-10.83,14.57,-1.08,9.41,0.3,0.5,26.03,281.64,383.87,442.22,442.22,436.16,12.52,-1.3,1.5,208.4,138.96,59.64,40.36,67.66,648.21,3,4.99,5387045,83.77,5.98,1.44,206720,44.99,2.46,15.41,1.02,0.41,7359129
2347,聯強,201003  ,0.94,3.84,3.94,4.08,2,2.44,2.01,0.44,195.8,2.06,2.09,-3.18,24.9,-0.77,40.59,0.81,1.14,28.54,82.09,58.14,63.66,63.66,78.47,23.29,12.3,0.66,181.76,105.03,44.76,55.24,123.42,1356.69,9.36,11.44,26442089,149.1,9.48,3.38,663882,45.56,7.66,81.52,2.81,0.4,93098390
2348,海悅,201003  ,-0.37,-27.59,-6.69,1.16,-4.72,-32.85,-32.85,-28.13,19.79,-7.97,5.89,-1.55,1.66,-0.05,2.51,-0.12,-0.37,50.03,-1.66,-289.38,-289.41,-289.41,1.28,-30.17,-27.02,-4.82,26.84,22.08,27.73,72.27,260.6,712276,-0.53,-3.7,-278617,5.07,57.47,0.76,-145098,-5.08,3.36,11375.7,2.47,1.39,445690
2305,全友,201003  ,-0.17,-2.71,-2.91,27.56,-21.72,-16.71,-17.56,5.01,55.93,-18.85,49.28,6.29,5.71,0.17,0.91,-0.2,-0.15,-41.27,12.15,3.68,10.13,10.13,4.52,-10.94,-19.99,0.22,136.12,90.14,66.89,33.11,49.5,272.72,-1.96,-1.51,196150,21.72,14.94,0.42,8720,105.08,0.62,1.66,0.91,1.32,1052979
2308,台達電,201003  ,1.3,3.98,3.95,20.88,9.59,11.67,9.89,2.08,184.95,9.81,11.29,6.24,32.5,1.44,13.97,1.34,1.73,30.78,91.8,53.6,58.32,58.34,58.22,31.72,17.23,1.48,204.21,176.97,59.18,40.82,68.97,383.33,13.46,16.38,54417495,46.09,4.66,0.93,-910552,27.83,1.61,6,3.09,1.8,239540343
2349,錸德,201003  ,0.01,0.09,-0.17,11.56,0.09,1.68,0.64,1.59,100.83,-1.2,11.47,3.96,11.99,0.19,1.84,0,0.03,23.33,100.85,110.74,103.9,103.9,93.68,-5.41,-1.46,0.9,128,73.22,62.35,37.65,60.39,142.31,0.02,0.3,3524908,24.21,6.35,0.34,747673,109.49,0.56,0.63,0.71,1.03,21919222
2321,東訊,201003  ,-0.62,-7.26,-7.1,3.47,-12.06,-12.75,-12.75,-0.7,22.35,-12.47,15.53,10.41,5.92,0.88,6.32,-0.76,-0.81,-16.11,-10.24,-29.34,-24.75,-24.75,-19.73,-12.97,-19.86,-0.88,174.14,122.2,48.47,51.53,106.33,333.94,-7.62,-8.06,1858731,68.06,5.18,1.1,154850,63.54,2.28,6.8,1.98,0.39,3493639
2323,中環,201003  ,-0.35,-2.37,-2.35,-2.48,-14.71,-17.04,-17.07,-2.33,-20.25,-16.92,12.23,5.49,14.69,0.35,2.13,-0.31,-0.36,-1.52,-15.06,-12.56,-12.08,-12.08,-18.44,-13.83,-8.39,-0.34,90.68,47.19,63.54,36.46,57.38,107.77,-3,-3.47,-1640165,20.57,5.35,0.35,2229458,81.9,0.56,0.52,0.62,0.99,24815835
2324,仁寶,201003  ,2.05,7.64,5.06,5.37,3.06,4.19,3.74,1.13,232.9,2.47,2.3,5.52,25.88,2.93,52.29,1.6,2.31,90.75,81.41,180.84,197.57,197.57,102.04,62.53,31.37,1.73,133.29,101.31,34.66,65.34,188.54,825.42,16.46,22.52,73517705,192.9,5.57,2.72,-833010,22.63,8.17,64.27,1.62,0.23,176959497
2327,國巨,201003  ,0.46,3.31,2.98,27.03,16.76,18.17,16.02,1.42,263.15,14.42,10.27,12.96,13.96,0.54,2.85,0.48,0.52,68.34,418.74,349.72,316.34,316.34,324.53,11.1,13.69,2.85,215.3,169.73,63.02,36.98,58.67,238.4,4.79,5.19,10516787,31.32,4.22,0.51,1050114,75.96,0.83,1.52,0.89,1.26,27216289
2328,廣宇,201003  ,0.2,0.89,0.89,11.43,4.07,5.09,4.04,1.02,155.37,4.01,7.36,1.86,27.72,0.18,6.39,0.26,0.34,42.56,4.87,-5.82,0.38,0.38,-0.32,18.55,18.36,0.05,214.62,193.65,75.21,24.79,32.96,1437.1,2.69,3.36,5400466,25.14,3.78,0.65,-72972,24.13,0.88,12.41,1.89,1.69,25614908
2329,華泰,201003  ,-0.14,-1.88,-1.84,6.82,-0.5,-2.75,-2.91,-2.25,93.25,-2.84,7.31,-5.06,6.6,-0.73,4.37,-0.02,-0.12,48.94,93.25,37.74,43.9,43.9,45.31,1.16,-23.23,0.3,57.5,25.54,24.86,75.14,302.31,86.69,-0.22,-1.2,-3697734,71.27,5.77,0.66,-1467170,-2.73,2.59,1.28,1.54,0.64,6151052
2330,台積電,201003  ,1.3,6.56,6.49,47.93,37.02,38.29,36.69,1.27,439.31,36.29,10.91,58.89,20.39,1.78,3.56,1.32,1.36,133.38,2722,4616.48,2173.62,2173.62,1201.24,13.4,9.68,5.78,339.77,296.69,84.92,15.08,17.76,181.42,13.17,13.63,187441183,11.73,9.81,0.6,1921483,56.33,0.72,1.29,3.02,4.57,1593081794
2331,精英,201003  ,0.07,0.31,0.28,7.56,0.33,0.84,0.47,0.51,104.56,0.43,7.23,-5.68,18.77,-0.83,12.52,0.04,0.1,-13.91,-64.78,-40.39,-66.11,-66.11,-69.91,0.87,-2.36,-0.38,151.82,104.51,56.71,43.29,76.32,226.65,0.4,1,8909526,61.34,7.52,1.47,82210,21.55,2.62,5.86,0.76,0.24,16771425
2362,藍天,201003  ,0.29,1.94,1.09,25.63,4.29,6.81,4.48,2.52,120.09,2.53,21.34,-5.45,14.77,-1.08,6.39,0.27,0.43,7.56,410.38,875.1,295.37,295.37,209.4,4.51,19.31,0.71,96.15,54.81,28.2,71.8,254.55,140.41,2.49,3.96,-463313,46.07,12.03,0.5,-444193,-8.88,1.73,1.22,4.98,2.11,44187440
2363,矽統,201003  ,0.02,0.11,0.05,37.92,-3.52,2.77,2.41,6.3,91.5,1.15,41.44,-32.41,18.53,-0.23,0.86,-0.03,0.02,23.88,53.85,-26.17,-35.69,-35.69,-66.99,26.03,24.86,-0.18,1162.66,1089.24,96.4,3.6,3.73,1340.61,-0.3,0.24,5230877,4.86,6.3,0.18,8138,29.03,0.18,2.42,1.17,4,15520213
2364,倫飛,201003  ,-0.14,-2.4,-2.38,18.02,-3.78,-7.56,-7.58,-3.78,82.66,-7.52,21.8,7.01,5.61,0.34,1.79,-0.07,-0.14,-3.21,73.48,-27.95,-28.32,-28.32,-27.39,-7.87,-10.15,-0.33,121.49,65.46,52.45,47.55,90.65,275.71,-0.6,-1.21,255526,57.55,7.01,0.68,-74490,114.17,1.27,3.31,1.03,0.73,1433538
2365,昆盈,201003  ,0.51,2.99,2.97,20.5,6.19,6.34,5.41,0.15,143.24,5.38,14.31,-1.53,17.1,-0.13,9.45,0.58,0.59,46.76,40.59,0.43,-11.76,-11.76,-5.18,12.68,11.32,-0.36,248.35,162.75,66.54,33.46,50.29,585.91,5.69,5.83,3492357,71.48,6.38,1.45,-53052,64.37,2.21,12.65,1.88,0.84,9220167
2367,燿華,201003  ,-0.32,-1.83,-1.8,6.01,-5.42,-5.69,-5.7,-0.28,52.6,-5.6,11.43,14.99,16.43,1.63,5.24,-0.28,-0.3,6.97,27.3,31.13,37.99,37.99,39.62,-8.06,-1.02,0.42,107.3,81.45,49.51,50.49,101.99,122.54,-2.81,-2.96,347760,37.71,4.15,0.62,-325637,61.42,1.28,1.19,0.81,0.53,5760539
2368,金像電,201003  ,0.03,0.16,0.33,11.35,2.7,0.46,0.41,-2.24,131.21,0.87,8.65,7,16.4,0.78,6.28,0.17,0.03,9.85,288.75,110.48,114.83,114.83,119.75,-6.71,-3.09,0.48,160.55,127.19,43.63,56.37,129.17,141.87,1.67,0.28,3748052,75.82,2.73,0.68,-1308300,93.6,1.53,1.35,0.76,0.47,6915476
2369,菱生,201003  ,0.4,2.39,2.39,18.84,11.21,11.61,9.04,0.41,246.72,9.03,7.64,23.34,16.41,1.24,4.19,0.47,0.51,62.73,291.81,309.79,254.95,254.95,248.11,7.06,12.85,2.86,224.34,203.27,73.53,26.47,35.99,169.92,4.75,4.92,2331449,26.41,4.92,0.76,-187104,65.55,1.06,1.68,1.08,1.08,6319882
2351,順德,201003  ,0.82,4.43,4.38,15.76,9.39,9.34,7,-0.06,247.68,6.92,6.36,-6.74,19.48,-1.13,12.31,1.16,1.18,139.28,5358.1,1815.32,1721.1,1721.1,13445.7,12.59,13.58,1.84,152.38,82.38,42.29,57.71,136.44,134.95,11.87,11.8,1526190,103.74,5.11,1.07,-55157,87.97,2.53,2.32,2.18,1.02,7358859
2352,佳世達,201003  ,0.9,6.35,2.07,11.31,1.13,5.56,4.95,4.43,111.09,1.61,10.18,-1.81,12.59,-0.41,19.45,0.22,1.08,12.48,154.65,189.37,178.05,178.05,123.57,-15.56,-4.58,3.5,102.31,63.42,27.76,72.24,260.23,264.8,2.19,10.8,1010519,99.3,9.37,1.43,-3951538,8.16,5.13,6.18,1.42,0.22,34515084
2353,宏碁,201003  ,1.25,3.51,3.41,9.69,2.7,2.57,2.03,-0.14,138.71,1.97,6.99,-10.05,35.74,-6.38,61.1,1.65,1.57,36.14,70.6,50.93,62.64,62.64,58.01,7.73,10,0.44,132.63,99.08,33.79,66.21,195.96,1251.59,16.31,15.47,54724038,178.49,5.64,2.27,1363635,34.41,6.91,75.22,2.67,0.41,252245272
2354,鴻準,201003  ,1.48,2.97,2.79,9.14,5.6,5.27,4.36,-0.33,258.23,4.09,3.54,5.42,50.53,2.57,29.62,1.66,1.79,-16.77,98.1,45.23,58.02,58.02,187.43,14.66,19.53,0.53,135.69,125.2,50.75,49.25,97.05,227.27,18.99,17.87,16434979,63.83,4.78,1.37,60426,40.16,2.72,5.83,2.31,0.76,113242660
2371,大同,201003  ,-0.04,-3.23,-3.85,3.31,-8.71,-6.97,-7.64,1.74,27.55,-9.1,12.03,3.23,6.2,0.64,7.37,-0.64,-0.49,65.17,67.6,77.27,75.16,75.16,69.95,-4.27,0.62,3.49,90.69,57.03,36.02,63.98,177.63,99.67,-6.06,-4.85,-10113614,49.23,7.83,0.6,-548544,49.35,1.69,1.14,1.3,0.31,42195724
2373,震旦行,201003  ,0.57,2.92,3.02,38.45,6.52,8.57,6.7,2.04,120.63,6.92,31.88,0.39,19.32,0.04,8.94,0.58,0.78,-2.11,40.63,41.21,47.61,47.61,48.65,4.64,14.27,0.81,150.54,107.93,61.54,38.46,62.48,313.95,5.33,7,1690359,41.18,6.77,1.06,332764,59.37,1.74,5.08,2.27,1.2,13531023
2374,佳能,201003  ,1.38,6.25,6.18,10.09,6.04,6.56,5.39,0.52,249.18,5.32,4.05,-7.54,22.9,-1.67,25.46,1.54,1.68,114.7,201.37,117.99,129.6,129.6,160.14,73.13,33.6,1.95,175.37,134.33,47.56,52.44,110.24,603.58,15.49,16.82,7283457,112.34,6.88,2.27,-1347181,15.62,4.64,23.78,2.31,0.54,23094773
2355,敬鵬,201003  ,0.41,1.62,1.63,14.44,7.14,7.22,4.61,0.08,197.91,4.64,7.29,3.72,25.77,0.59,8.98,0.64,0.65,59.99,38.53,43.95,32.64,32.64,43.2,15.74,5.16,0.24,155.23,125.5,59.99,40.01,66.7,150.44,6.41,6.49,3506089,54.08,3.7,0.85,19715,75.91,1.4,2.07,1.01,0.76,10354745
2375,凱美,201003  ,-0.1,-1.62,-1.63,6.84,-5.04,-5.96,-5.96,-0.92,57.59,-6,11.87,-0.89,6.03,-0.03,3.15,-0.16,-0.1,28.61,78.94,77.25,77.24,77.24,77.16,-30.42,-41.78,2.17,139.32,97.35,60.28,39.72,65.9,174.47,-0.84,-0.99,554652,54.67,2.73,0.66,-130175,81.18,1.09,1.87,0.91,0.81,2004497
2376,技嘉,201003  ,1.37,4.18,3.56,19.07,4.45,7.06,5.96,2.61,130.4,5.08,14.63,17.16,33.18,3.03,23.14,1.03,1.63,22.12,63.68,82.8,99.9,99.9,77.34,8.54,9.24,1.35,233.27,157.22,64.97,35.03,53.92,469,10.16,16.14,14987517,66.34,11.12,1.81,489762,47.24,2.8,12.7,0.93,0.39,19791002
2356,英業達,201003  ,0.41,2.62,2.67,5.2,1.65,1.63,1.22,-0.02,146.53,1.24,3.55,-0.41,14.69,-0.12,30.26,0.5,0.52,-9.39,69.03,-10.01,-27.22,-27.22,-20.5,-4.39,3.09,-0.25,121.51,89.39,32.27,67.73,209.93,219.67,5.25,5.17,17250054,183.5,5.82,2.6,355320,20.96,8.6,15.66,1.24,0.12,51208882
2357,華碩,201003  ,1.16,2.98,2.52,11.6,4.23,4.92,3.72,0.69,157.39,3.15,7.37,6.17,41.68,2.3,255.36,10.8,1.85,37.96,782.46,503.3,515.16,515.16,23586.3,17.52,5.59,1.33,180.5,115.3,54.18,45.82,84.56,337.25,15.95,18.54,127159837,85.89,7.72,1.72,-3220137,42.2,3.2,10.01,1.33,0.36,234846768
