證券代碼,簡稱,年月,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼
6197,佳必琪,202003  ,M2300,M2328,23D,23D2
6216,居易,202003  ,M2300,M2327,23E,23E1
6224,聚鼎,202003  ,M2300,M2328,23D,23D5
6201,亞弘電,202003  ,M2300,M2331,23U,23U2
6202,盛群,202003  ,M2300,M2324,23G,23G5
6225,天瀚,202003  ,M2300,M2326,23U,23U1
6184,大豐電,202003  ,M9900,M9900,99G,99G
6206,飛捷,202003  ,M2300,M2325,23B,23B5A
6189,豐藝,202003  ,M2300,M2329,23T,23T2
6205,詮欣,202003  ,M2300,M2328,23D,23D2
6271,同欣電,202003  ,M2300,M2324,23C,23C6C
6226,光鼎,202003  ,M2300,M2326,23C,23C6C
6230,尼得科超眾,202003  ,M2300,M2325,23D,23D9B
6243,迅杰,202003  ,M2300,M2324,23G,23G5
6251,定穎,202003  ,M2300,M2328,23B,23B2D
6257,矽格,202003  ,M2300,M2324,23G,23G2
6269,台郡,202003  ,M2300,M2328,23B,23B2C
6213,聯茂,202003  ,M2300,M2328,23B,23B3A
6277,宏正,202003  ,M2300,M2325,23C,23C3
6278,台表科,202003  ,M2300,M2326,23B,23B2B
6281,全國電,202003  ,M2300,M2329,23T,23T1
6282,康舒,202003  ,M2300,M2328,23D,23D3
6283,淳安,202003  ,M2300,M2331,23C,23C3
6285,啟碁,202003  ,M2300,M2327,23K,23K2
6288,聯嘉,202003  ,M2200,M2200,23C,23C6C
6289,華上,202003  ,M2300,M2326,23C,23C6B
6451,訊芯-KY,202003  ,M2300,M2324,23G,23G2
6191,精成科,202003  ,M2300,M2328,23B,23B2B
6192,巨路,202003  ,M2300,M2331,23T,23T2
6464,台數科,202003  ,M9900,M9900,99G,99G
6235,華孚,202003  ,M2300,M2325,23D,23D4
6438,迅得,202003  ,M2300,M2331,23H,23H2
6449,鈺邦,202003  ,M2300,M2328,23D,23D5
6531,愛普,202003  ,M2300,M2324,23G,23G5
